index,Player,NBA_DraftNumber,Salary,Signed Using,Guaranteed,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%
424,Guerschon Yabusele,16,"$2,247,480",1st Round Pick,"$4,915,080",22,BOS,31,182,10.5,0.543,0.689,0.378,9.2,15.4,12.4,11.1,0.6,0.9
425,Greg Monroe,7,"$17,884,176",,"$17,884,176",27,TOT,47,951,20.2,0.586,0,0.303,11.8,25.2,18.4,16.8,2,1.7
426,Greg Monroe,7,"$17,884,176",,"$17,884,176",27,BOS,22,407,21,0.552,0,0.345,12.9,23.9,18.5,16.3,2.7,2.9
427,Greg Monroe,7,"$17,884,176",,"$17,884,176",27,PHO,20,465,21,0.642,0,0.297,11.3,25.8,18.4,18.3,1.6,1
428,Greg Monroe,7,"$17,884,176",,"$17,884,176",27,MIL,5,79,11.1,0.489,0,0.121,9,28.2,18.7,10.2,0,0
429,Gorgui Dieng,21,"$14,112,360",1st Round Pick,"$62,800,000",28,MIN,75,1281,14.2,0.536,0.147,0.266,8.8,22.2,15.4,7.6,1.7,2.5
430,Gordon Hayward,9,"$29,727,900",Cap space,"$93,642,885",27,BOS,1,5,7.4,0.5,0.5,0,0,21.6,11,0,0,0
431,Goran Dragic,45,"$17,000,450",Bird Rights,"$35,109,625",31,MIA,73,2324,16.8,0.544,0.281,0.255,2.6,12,7.3,25.4,1.3,0.4
432,Glenn Robinson,40,"$1,524,305",,$0,24,IND,19,241,8.9,0.443,0.322,0.119,3.8,8.4,6.1,7.2,2.3,0.4
433,Giannis Antetokounmpo,15,"$22,471,910",1st Round Pick,"$100,000,000",23,MIL,73,2698,27.7,0.603,0.099,0.465,6.8,25.1,16,23.7,1.9,3.3
434,Gian Clavell,62,"$50,000",,"$50,000",24,DAL,7,64,7.4,0.53,0.833,0.111,1.7,10.7,6.1,6.7,1.6,0
435,Gerald Green,18,"$947,248",Minimum Salary,"$947,248",32,HOU,37,825,14,0.558,0.721,0.146,1.9,14,8,4.4,1.4,1.3
436,Georgios Papagiannis,13,"$2,301,360",,"$4,701,840",20,SAC,16,118,10.7,0.415,0,0,11.1,24.3,17.4,11.5,0.9,4.8
437,Georges Niang,50,"$100,000",,"$100,000",24,UTA,7,18,15,0.394,0.375,0.25,12.8,18.8,15.8,26.7,5.6,0
438,George Hill,26,"$20,000,000",Cap space,"$40,000,000",31,TOT,65,1783,13.2,0.581,0.399,0.273,2.6,8.9,5.7,14.9,1.6,1.3
439,George Hill,26,"$20,000,000",Cap space,"$40,000,000",31,SAC,43,1143,14,0.597,0.393,0.304,2.1,9.9,5.8,15.5,1.7,1
440,George Hill,26,"$20,000,000",Cap space,"$40,000,000",31,CLE,22,640,12,0.55,0.411,0.217,3.6,7.1,5.3,13.8,1.4,1.9
441,Gary Payton,62,"$50,000",,"$50,000",25,LAL,7,43,7.8,0.357,0.214,0,10,4.9,7.4,12.8,0,3.8
442,Gary Payton,62,"$50,000",,"$50,000",25,TOT,19,149,7.6,0.414,0.319,0.064,6.1,11.7,8.9,12.4,1,1.7
443,Gary Payton,62,"$50,000",,"$50,000",25,MIL,12,106,7.6,0.437,0.364,0.091,4.5,14.4,9.5,12.2,1.4,0.8
444,Gary Harris,19,"$2,550,055",1st Round Pick,"$76,550,055",23,DEN,65,2265,16.6,0.599,0.436,0.175,1.8,6.8,4.3,13.1,2.6,0.6
445,Garrett Temple,62,"$8,000,000",Cap Space,"$8,000,000",31,SAC,65,1615,10.2,0.536,0.477,0.164,1.5,9.6,5.4,11.2,1.8,1.6
