index,Player,NBA_DraftNumber,Salary,Signed Using,Guaranteed,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%
553,Courtney Lee,22,"$11,747,890",Cap Space,"$36,761,340",32,NYK,73,2226,12.9,0.56,0.366,0.171,1.4,9.1,5.3,11.4,1.8,0.6
554,Cory Joseph,29,"$7,630,000",Cap Space,"$7,630,000",26,IND,78,2108,11.2,0.505,0.315,0.161,2.1,11.6,6.9,15.9,1.8,0.7
555,Corey Brewer,7,"$7,579,366",,"$7,579,366",31,OKC,15,427,14.7,0.573,0.449,0.297,4,9.7,6.7,7,3.7,1.3
556,Corey Brewer,7,"$7,579,366",,"$7,579,366",31,TOT,69,1121,11.1,0.535,0.331,0.297,3.7,10.3,7,7.7,3.2,1.1
557,Corey Brewer,7,"$7,579,366",,"$7,579,366",31,LAL,54,694,8.9,0.509,0.25,0.297,3.6,10.7,7.2,8.1,2.8,0.9
558,Cole Aldrich,11,"$7,300,000",Cap Space,"$9,356,021",29,MIN,19,46,5.2,0.34,0,0.4,7.5,25.4,16.4,5.9,2.2,1.9
559,Cody Zeller,4,"$12,584,270",1st Round Pick,"$56,000,000",25,CHO,33,627,16,0.602,0.019,0.545,11.3,19.4,15.3,7.4,1.1,2.8
560,Clint Capela,25,"$2,334,520",1st Round Pick,"$2,334,520",23,HOU,71,1955,24.6,0.65,0.002,0.383,13.5,31,22.3,5.8,1.4,5.8
561,Chris Paul,4,"$24,599,495",Bird Rights,"$24,599,495",32,HOU,55,1753,24.3,0.601,0.475,0.288,2.3,17,9.7,40.7,2.6,0.7
562,Chris McCullough,29,"$1,471,382",1st Round pick,"$1,471,382",22,WAS,19,90,15.8,0.478,0.19,0.333,8.9,22.6,15.7,7.1,0,4.8
563,Chris Boucher,62,$0,,$0,25,GSW,1,1,-28.5,0,1,0,0,100,55.9,0,0,0
564,Cheick Diallo,33,"$1,312,611",Minimum Salary,"$1,812,611",21,NOP,48,538,17.4,0.619,0,0.365,8.8,29.7,19.6,4.8,0.9,2.8
565,Charles Cooke,62,$0,,$0,23,NOP,11,34,-3.4,0.233,0.583,0.167,0,6.2,3.2,3.6,1.4,0
566,Channing Frye,8,"$7,420,912",Cap Space,"$7,420,912",34,TOT,50,643,14.2,0.626,0.544,0.078,1.9,19.8,11,7.5,1.3,1.8
567,Channing Frye,8,"$7,420,912",Cap Space,"$7,420,912",34,CLE,44,545,13.9,0.604,0.533,0.089,2.1,20.2,11.3,7.5,1.5,1.9
568,Channing Frye,8,"$7,420,912",Cap Space,"$7,420,912",34,LAL,6,98,15.5,0.792,0.625,0,1.1,17.3,9.3,7.4,0,1.7
569,Chandler Parsons,38,"$23,112,004",Cap Space,"$72,321,773",29,MEM,36,691,13.7,0.578,0.517,0.115,2.3,13.1,7.5,16.5,1.3,1.5
570,Cedi Osman,62,"$2,642,857",MLE,"$8,325,000",22,CLE,57,584,10.9,0.605,0.442,0.227,2.7,17,10,6.8,1.6,0.4
571,Carmelo Anthony,3,"$26,243,760",Bird Rights,"$26,243,760",33,OKC,75,2413,12.7,0.502,0.404,0.162,2.9,17.8,10.1,6.4,0.9,1.8
572,Caris LeVert,20,"$1,632,480",1st Round pick,"$3,335,280",23,BRK,68,1781,14.2,0.523,0.335,0.258,3.1,12.1,7.6,26,2,0.9
573,Cameron Payne,14,"$2,203,440",1st round pick,"$5,466,735",23,CHI,21,476,14,0.494,0.429,0.079,3.3,9.5,6.3,28.9,2.2,1.7
574,Caleb Swanigan,26,"$1,465,920",1st Round Pick,"$3,205,920",20,POR,24,165,7.1,0.41,0.148,0.241,10.1,20.3,15.2,12.2,1.5,1.5
575,C.J. Williams,62,$0,,$0,27,LAC,34,626,9.6,0.531,0.414,0.095,2,6.4,4.2,7.1,2.2,1.7
576,C.J. Miles,34,"$7,936,509",MLE,"$16,269,842",30,TOR,66,1251,13.2,0.55,0.764,0.154,1.6,10.9,6.3,5.7,1.4,1.2
577,C.J. McCollum,10,"$23,962,573",1st Round Pick,"$106,633,450",26,POR,77,2780,17.4,0.544,0.319,0.168,1.9,9.9,5.9,16,1.3,1
578,Buddy Hield,6,"$3,675,480",1st Round pick,"$7,509,240",24,SAC,77,1930,16,0.558,0.442,0.09,2.8,15.1,8.7,12.3,2,1
579,Bryn Forbes,62,"$1,312,611",Minimum Salary,"$1,312,611",24,SAS,77,1462,9.1,0.523,0.457,0.141,0.8,7.3,4.1,8.1,0.9,0.1
580,Bruno Caboclo,20,"$2,451,225",1st Round Pick,"$2,451,225",22,TOR,2,7,-0.1,0,1,0,0,15.8,8,16.7,7,0
581,Bruno Caboclo,20,"$2,451,225",1st Round Pick,"$2,451,225",22,SAC,9,92,9.2,0.424,0.536,0.214,8.3,15.6,11.8,6.1,1.1,4.1
582,Bruno Caboclo,20,"$2,451,225",1st Round Pick,"$2,451,225",22,TOT,11,99,8.5,0.398,0.567,0.2,7.7,15.6,11.5,6.9,1.5,3.8
583,Brook Lopez,10,"$22,642,350",Bird Rights,"$22,642,350",29,LAL,70,1657,16.6,0.558,0.408,0.201,4.7,13.1,8.9,11.7,0.9,4.7
584,Brice Johnson,25,"$1,331,160",,"$1,331,160",23,LAC,9,38,21.3,0.673,0.091,0.182,5.9,31.2,18.8,4,7.7,4.4
585,Brice Johnson,25,"$1,331,160",,"$1,331,160",23,TOT,18,98,18.2,0.486,0.024,0.119,10.4,25.4,17.9,3.4,4.5,5.5
586,Brice Johnson,25,"$1,331,160",,"$1,331,160",23,MEM,9,60,16.2,0.418,0,0.097,13.2,21.8,17.4,3.1,2.5,6.3
587,Briante Weber,62,"$83,129",,$0,25,TOT,18,237,10.1,0.527,0.256,0.233,3.8,13.1,8.4,13.1,3.8,1.9
588,Briante Weber,62,"$83,129",,$0,25,HOU,13,118,11.1,0.547,0.409,0.182,2.9,14.3,8.6,15.1,4.2,2.2
589,Briante Weber,62,"$83,129",,$0,25,MEM,5,119,9.2,0.508,0.095,0.286,4.8,12,8.3,11.2,3.4,1.6
590,Brandon Paul,62,"$815,615",Minimum Salary,"$815,615",26,SAS,61,558,7.2,0.493,0.43,0.339,1.2,12.2,6.7,9.2,2.3,1
591,Brandon Jennings,10,"$238,020",,$0,28,MIL,11,156,14,0.51,0.52,0.18,2.3,13.5,7.9,30.3,1.6,2.2
592,Brandon Ingram,2,"$5,519,400",1st Round pick,"$11,276,520",20,LAL,59,1975,13.9,0.536,0.138,0.371,3.1,13.8,8.5,17.6,1.1,1.8
593,Brandan Wright,8,"$5,179,760",,"$5,179,760",30,MEM,27,366,19.4,0.595,0,0.333,9.9,19.8,14.7,5.9,1.8,6.4
594,Brandan Wright,8,"$5,179,760",,"$5,179,760",30,TOT,28,381,19,0.596,0,0.324,9.8,19.3,14.4,5.6,1.7,6.4
595,Brandan Wright,8,"$5,179,760",,"$5,179,760",30,HOU,1,15,11.2,0.667,0,0,7.6,7.5,7.5,0,0,5.7
596,Bradley Beal,3,"$23,775,506",Cap Space,"$105,054,563",24,WAS,78,2819,18.7,0.566,0.357,0.245,2.3,11.4,6.9,21.2,1.7,1.1
597,Bojan Bogdanovic,31,"$10,500,000",Cap space,"$12,000,000",28,IND,77,2386,13.8,0.603,0.454,0.244,1.4,10.9,6.2,7.1,1.1,0.3
598,Bogdan Bogdanovic,27,"$9,470,614",Cap space,"$27,000,000",25,SAC,75,2089,13.8,0.564,0.426,0.161,1.5,10.7,5.9,18.3,1.7,0.7
599,Bobby Portis,22,"$1,516,320",1st Round pick,"$4,010,666",22,CHI,69,1553,20,0.548,0.28,0.199,10.3,22.3,16.1,13.6,1.5,1.1
600,Bobby Brown,62,"$1,524,305",,$0,33,HOU,20,115,5.4,0.425,0.69,0.034,0,6.8,3.4,14.9,1.7,0
601,Boban Marjanovic,62,"$7,000,000",Cap Space,"$14,000,000",29,TOT,35,286,25.1,0.611,0,0.621,13.9,29.8,21.7,12.5,1.5,3.3
602,Boban Marjanovic,62,"$7,000,000",Cap Space,"$14,000,000",29,LAC,16,115,30.3,0.635,0,0.711,20.4,32.9,26.7,9.7,2.1,3.6
603,Boban Marjanovic,62,"$7,000,000",Cap Space,"$14,000,000",29,DET,19,171,21.6,0.597,0,0.57,9.5,27.7,18.4,14.4,1.2,3.1
604,Blake Griffin,1,"$29,512,900",Bird Rights,"$132,217,792",28,TOT,58,1970,19.6,0.544,0.323,0.331,4.1,19.8,11.9,28.1,1,0.8
605,Blake Griffin,1,"$29,512,900",Bird Rights,"$132,217,792",28,LAC,33,1139,20.5,0.553,0.324,0.379,4.5,20.5,12.6,25.6,1.3,0.7
606,Blake Griffin,1,"$29,512,900",Bird Rights,"$132,217,792",28,DET,25,831,18.5,0.531,0.323,0.266,3.5,18.9,11,31.6,0.7,1
607,Bismack Biyombo,7,"$17,000,000",Cap Space,"$34,000,000",25,ORL,78,1428,13.9,0.556,0.003,0.455,10.7,23.9,17.3,6.4,0.7,5
608,Ben Simmons,1,"$6,168,840",1st Round pick,"$12,603,360",21,PHI,77,2614,19.8,0.555,0.012,0.335,5.9,19.3,12.8,37.4,2.4,2.1
609,Ben Moore,62,$0,,$0,22,IND,2,9,-2.3,,,,0,12.5,6.3,13.1,0,0
610,Ben McLemore,7,"$5,200,000",MLE,"$10,660,000",24,MEM,52,968,9.2,0.517,0.424,0.166,3.6,11.4,7.4,7.5,1.9,1.4
611,Bam Adebayo,14,"$2,490,360",1st Round Pick,"$5,446,200",20,MIA,66,1324,15.6,0.564,0.021,0.526,9.7,21.7,15.7,11.2,1.2,2.6
612,Avery Bradley,19,"$8,808,989",Bird Rights,"$8,808,989",27,LAC,6,165,9,0.492,0.164,0.036,2,12.4,7.3,9.8,1.5,0.5
613,Avery Bradley,19,"$8,808,989",Bird Rights,"$8,808,989",27,DET,40,1268,9.7,0.497,0.34,0.14,1.6,6.7,4.1,10.5,1.8,0.5
614,Avery Bradley,19,"$8,808,989",Bird Rights,"$8,808,989",27,TOT,46,1433,9.7,0.496,0.325,0.131,1.7,7.3,4.5,10.4,1.8,0.5
615,Austin Rivers,10,"$11,825,000",Cap Space,"$11,825,000",25,LAC,58,1965,12.9,0.531,0.445,0.193,1.5,6.3,4,17.1,1.8,0.7
616,Arron Afflalo,27,"$2,328,652",Minimum Salary,"$2,328,652",32,ORL,51,657,5.5,0.508,0.425,0.17,0.7,10.5,5.5,6.2,0.3,1.1
617,Aron Baynes,62,"$4,328,000",Room Exception,"$4,328,000",31,BOS,77,1402,11.7,0.506,0.037,0.187,9.1,22.3,15.8,9.4,0.7,2.8
618,Antonius Cleveland,62,"$92,160",,$0,23,TOT,14,93,5.4,0.402,0.125,0.375,2.3,12.2,7.2,2.9,3.2,4.8
619,Antonius Cleveland,62,"$92,160",,$0,23,DAL,13,81,5.1,0.317,0.071,0.286,2.7,11.3,6.9,3.3,3.7,4.4
620,Antonius Cleveland,62,"$92,160",,$0,23,ATL,1,12,7.3,0.868,0.5,1,0,18.6,9.3,0,0,7.2
621,Antonio Blakeney,62,$0,,$0,21,CHI,19,314,10.1,0.471,0.364,0.273,1.3,10.2,5.6,10.1,1.1,0.3
622,Anthony Tolliver,62,"$3,290,000",Bi-annual Exception,"$3,290,000",32,DET,75,1624,13.5,0.652,0.777,0.278,3.1,12.6,7.7,7.5,0.9,1.1
623,Anthony Davis,1,"$23,775,506",1st Round Pick,"$76,302,788",24,NOP,71,2582,28.9,0.615,0.113,0.406,7.8,24.9,16.6,10.8,2,5.5
624,Anthony Brown,34,$0,,$0,25,MIN,1,4,41.9,1.5,1,0,0,0,0,41.7,0,0
625,Ante Zizic,23,"$1,645,200",1st Round Pick,"$3,597,960",21,CLE,30,186,23.2,0.737,0,0.351,13.5,18.4,16,4.4,0.3,6
626,Andrew Wiggins,1,"$7,574,322",1st Round Pick,"$154,024,322",22,MIN,78,2832,13.2,0.509,0.26,0.244,3,10.7,6.8,8,1.5,1.5
627,Andrew White,62,$0,,$0,24,ATL,15,209,5.8,0.461,0.671,0.055,2.1,16,9.1,4.3,0.7,0.4
628,Andrew Harrison,44,"$1,312,611",Cap Space,"$1,312,611",23,MEM,56,1326,12.7,0.534,0.331,0.371,2,9.7,5.7,21.4,1.5,1.8
629,Andrew Bogut,1,"$2,328,652",,$0,33,LAL,23,216,10.9,0.696,0,0.08,12.9,25.5,19.3,9.1,0.9,4.9
630,Andre Roberson,26,"$9,259,259",Bird Rights,"$30,000,000",26,OKC,39,1037,10.9,0.543,0.222,0.235,7.7,12.2,9.9,6,2.2,3.1
631,Andre Iguodala,9,"$14,814,815",Bird Rights,"$48,000,000",34,GSW,63,1601,11.3,0.539,0.36,0.277,3.8,12.5,8.5,16,1.6,1.9
632,Andre Drummond,9,"$23,775,506",Cap Space,"$76,302,788",24,DET,76,2541,23,0.556,0.011,0.453,16.5,36.6,26.3,14.3,2.2,4.3
633,Amir Johnson,56,"$11,000,000",Cap space,"$11,000,000",30,PHI,70,1094,14.2,0.563,0.123,0.353,11.7,18.3,15.1,13.3,1.9,3.3
634,Allen Crabbe,31,"$19,332,500",Cap Space,"$37,832,500",25,BRK,71,2085,11.1,0.54,0.634,0.155,1.3,14.3,7.7,7.9,1,1.1
635,Alfonzo McKinnie,62,"$815,615",Minimum Salary,"$815,615",25,TOR,13,49,9.2,0.663,0.615,0.231,0,13.5,6.9,2.9,1,1.6
636,Al-Farouq Aminu,8,"$7,319,035",Cap Space,"$14,276,140",27,POR,65,1950,12.4,0.529,0.586,0.144,5.1,22.3,13.8,5.8,1.9,1.5
637,Alex Poythress,62,"$778,668",Two-Way Converted,"$778,668",24,IND,24,101,8.5,0.52,0.44,0,7.9,11.1,9.5,2.7,1.5,0.9
638,Alex Len,5,"$4,187,599",1st Round Pick,"$4,187,599",24,PHO,66,1324,19.4,0.615,0.003,0.638,13.4,27.2,20.1,8.5,1,3.7
639,Alex Caruso,62,$0,,$0,23,LAL,33,476,8.1,0.517,0.36,0.247,2.3,8.7,5.5,17.7,1.9,1.7
640,Alex Abrines,32,"$5,725,000",Cap Space,"$11,180,236",24,OKC,73,1095,9.1,0.573,0.755,0.145,2.3,8.8,5.5,3.4,1.6,0.7
641,Alec Peters,54,$0,,$0,22,PHO,17,175,5.1,0.375,0.833,0.125,4.2,11.8,7.9,7.9,0.3,0.9
642,Alec Burks,12,"$10,845,506",1st Round Pick,"$22,382,021",26,UTA,62,1030,13.1,0.526,0.335,0.31,2,18.4,10.3,9.8,1.8,0.7
643,Alan Williams,62,"$6,000,000",Cap space,"$6,000,000",25,PHO,5,70,9.3,0.455,0,0.5,4.5,29.6,16.8,16.4,3.4,1.2
644,Al Jefferson,15,"$9,769,821",Cap Space,"$13,769,821",33,IND,34,462,19.9,0.557,0.005,0.163,7.4,25.3,16.4,10.1,1.7,4.4
645,Al Horford,3,"$27,734,405",Cap Space,"$56,663,115",31,BOS,70,2219,17.5,0.577,0.301,0.153,4.8,20.1,12.6,23.9,0.9,2.9
646,Adreian Payne,15,$0,,$0,26,ORL,5,43,18.8,0.831,0.3,0.6,5.1,18.1,11.5,0,2.3,0
647,Abdel Nader,58,"$1,167,333",,"$1,617,333",24,BOS,44,463,5.7,0.464,0.477,0.269,2.4,12.1,7.3,7.2,1.4,1.6
648,Aaron Harrison,62,"$83,129",,$0,23,DAL,7,164,6.6,0.411,0.644,0.244,1.3,12.6,6.8,8.6,2.1,1.1
649,Aaron Gordon,4,"$5,504,420",1st Round Pick,"$5,504,420",22,ORL,55,1838,16.6,0.531,0.393,0.263,5.2,21.8,13.4,11.7,1.4,1.9
650,Aaron Brooks,26,"$2,116,955",,"$2,116,955",33,MIN,31,188,10.1,0.508,0.449,0.159,4.3,6.2,5.2,15.2,1.6,0
