SKUPNO število testiranj,SKUPNO dnevno število testiranj,Dnevno število PCR testiranj,SKUPNO število pozitivnih oseb,SKUPNO DNEVNO število pozitivnih oseb,Skupno število hospitaliziranih oseb na posamezni dan,Skupno število oseb na intenzivni negi na posamezni dan,Dnevno število odpuščenih oseb iz bolnišnic,Skupno število umrlih
78529.0,613.0,613.0,1473.0,0.0,7.0,2.0,0.0,108.0
78793.0,264.0,264.0,1473.0,0.0,6.0,2.0,1.0,108.0
79039.0,246.0,246.0,1473.0,0.0,5.0,1.0,0.0,109.0
79698.0,659.0,659.0,1475.0,2.0,5.0,1.0,0.0,109.0
80505.0,807.0,807.0,1477.0,2.0,5.0,0.0,0.0,109.0
81333.0,828.0,828.0,1477.0,0.0,5.0,0.0,0.0,109.0
82161.0,828.0,828.0,1479.0,2.0,6.0,0.0,0.0,109.0
82876.0,715.0,715.0,1484.0,5.0,6.0,0.0,0.0,109.0
83105.0,229.0,229.0,1485.0,1.0,5.0,0.0,1.0,109.0
83316.0,211.0,211.0,1485.0,0.0,5.0,0.0,0.0,109.0
84130.0,814.0,814.0,1486.0,1.0,6.0,0.0,0.0,109.0
84868.0,738.0,738.0,1488.0,2.0,6.0,0.0,0.0,109.0
85626.0,758.0,758.0,1488.0,0.0,6.0,0.0,0.0,109.0
86328.0,702.0,702.0,1490.0,2.0,6.0,0.0,0.0,109.0
87095.0,767.0,767.0,1492.0,2.0,6.0,0.0,0.0,109.0
87386.0,291.0,291.0,1495.0,3.0,6.0,0.0,0.0,109.0
87598.0,212.0,212.0,1496.0,1.0,7.0,1.0,0.0,109.0
88165.0,567.0,567.0,1499.0,3.0,7.0,1.0,0.0,109.0
89151.0,986.0,986.0,1503.0,4.0,7.0,1.0,0.0,109.0
90103.0,952.0,952.0,1511.0,8.0,6.0,1.0,1.0,109.0
91005.0,902.0,902.0,1513.0,2.0,8.0,1.0,0.0,109.0
92152.0,1147.0,1147.0,1519.0,6.0,6.0,1.0,2.0,109.0
92919.0,758.0,758.0,1520.0,1.0,6.0,1.0,2.0,109.0
93181.0,271.0,271.0,1521.0,1.0,6.0,1.0,0.0,109.0
94165.0,984.0,984.0,1534.0,13.0,5.0,1.0,1.0,111.0
95387.0,1222.0,1222.0,1541.0,7.0,7.0,2.0,0.0,111.0
96599.0,1212.0,1212.0,1547.0,6.0,7.0,2.0,0.0,111.0
97442.0,843.0,843.0,1558.0,11.0,8.0,2.0,0.0,111.0
98320.0,878.0,878.0,1572.0,14.0,8.0,1.0,0.0,111.0
98945.0,625.0,625.0,1581.0,9.0,7.0,0.0,1.0,111.0
99245.0,300.0,300.0,1585.0,4.0,8.0,0.0,0.0,111.0
100330.0,1085.0,1085.0,1600.0,15.0,8.0,0.0,0.0,111.0
101729.0,1399.0,1399.0,1613.0,13.0,8.0,0.0,0.0,111.0
102927.0,1198.0,1198.0,1633.0,21.0,9.0,0.0,0.0,111.0
104201.0,1274.0,1274.0,1649.0,16.0,10.0,0.0,0.0,111.0
105652.0,1456.0,1456.0,1679.0,30.0,6.0,0.0,4.0,111.0
106368.0,716.0,716.0,1700.0,21.0,6.0,0.0,1.0,111.0
106898.0,530.0,530.0,1716.0,16.0,11.0,0.0,0.0,111.0
108228.0,1325.0,1325.0,1739.0,23.0,12.0,0.0,1.0,111.0
109835.0,1607.0,1607.0,1763.0,24.0,14.0,0.0,3.0,111.0
111106.0,1271.0,1271.0,1776.0,13.0,15.0,0.0,1.0,111.0
112496.0,1390.0,1390.0,1793.0,17.0,16.0,0.0,0.0,111.0
113665.0,1159.0,1159.0,1827.0,34.0,16.0,0.0,0.0,111.0
114215.0,560.0,560.0,1841.0,14.0,16.0,0.0,0.0,111.0
114665.0,440.0,440.0,1849.0,8.0,17.0,1.0,1.0,111.0
115873.0,1218.0,1218.0,1859.0,10.0,17.0,1.0,3.0,111.0
116985.0,1112.0,1112.0,1878.0,19.0,16.0,1.0,1.0,111.0
118017.0,1032.0,1032.0,1897.0,19.0,18.0,1.0,0.0,111.0
119029.0,1012.0,1012.0,1916.0,19.0,19.0,1.0,1.0,111.0
120056.0,1027.0,1027.0,1940.0,24.0,19.0,2.0,2.0,111.0
120536.0,480.0,480.0,1946.0,6.0,18.0,2.0,0.0,112.0
120907.0,371.0,371.0,1953.0,7.0,19.0,3.0,0.0,113.0
121821.0,914.0,914.0,1977.0,24.0,22.0,3.0,2.0,114.0
122971.0,1150.0,1150.0,2006.0,29.0,22.0,2.0,1.0,115.0
123906.0,935.0,935.0,2033.0,27.0,24.0,2.0,1.0,115.0
